time,open,high,low,close,tick_volume,spread,real_volume
2017-04-03,2362.01,2366.89,2343.43,2357.94,8845,0,0
2017-04-04,2358.74,2362.28,2348.25,2361.78,7433,0,0
2017-04-05,2363.32,2378.59,2347.08,2348.58,9764,0,0
2017-04-06,2349.08,2364.65,2341.35,2358.41,10335,0,0
2017-04-07,2358.42,2364.24,2340.18,2356.11,12786,0,0
2017-04-10,2355.54,2366.85,2351.1,2357.03,6867,0,0
2017-04-11,2357.28,2359.29,2336.6,2354.87,11353,0,0
2017-04-12,2354.62,2359.91,2340.94,2342.7,9034,0,0
2017-04-13,2342.46,2348.52,2327.29,2330.79,9453,0,0
2017-04-14,2330.8,2331.13,2330.8,2330.88,29,0,0
2017-04-17,2328.81,2349.88,2326.32,2348.89,5432,0,0
2017-04-18,2348.64,2350.9,2334.21,2341.98,8576,0,0
2017-04-19,2341.73,2353.29,2335.31,2336.56,6863,0,0
2017-04-20,2337.32,2362.39,2336.57,2356.15,7629,0,0
2017-04-21,2356.4,2360.18,2344.97,2349.24,7008,0,0
2017-04-24,2370.41,2381.21,2369.68,2374.23,8841,0,0
2017-04-25,2373.73,2393.31,2371.99,2387.56,5815,0,0
2017-04-26,2387.07,2398.88,2385.65,2385.65,8200,0,0
2017-04-27,2385.41,2392.97,2382.72,2391.49,6551,0,0
2017-04-28,2390.24,2393.04,2382.57,2384.83,5429,0,0
2017-05-01,2385.25,2395.33,2381.75,2391.34,4667,0,0
2017-05-02,2390.59,2393.4,2386.4,2389.17,4230,0,0
2017-05-03,2388.43,2390.76,2380.24,2387.01,5277,0,0
2017-05-04,2386.51,2395.81,2380.83,2391.1,6224,0,0
2017-05-05,2390.85,2403.1,2383.87,2402.85,5532,0,0
2017-05-08,2406.78,2408.03,2393.47,2398.49,4826,0,0
2017-05-09,2398.0,2404.06,2392.33,2396.33,4133,0,0
2017-05-10,2394.31,2399.89,2390.32,2397.4,7945,0,0
2017-05-11,2396.9,2397.41,2380.96,2392.48,7206,50,0
2017-05-12,2392.94,2393.74,2386.48,2391.02,7064,50,0
2017-05-15,2391.45,2404.45,2390.2,2402.22,5539,50,0
2017-05-16,2401.24,2406.3,2395.56,2399.33,6487,50,0
2017-05-17,2398.33,2398.33,2355.98,2357.73,19124,50,0
2017-05-18,2356.74,2376.02,2345.74,2364.78,23924,50,0
2017-05-19,2365.04,2389.32,2362.3,2383.58,10034,50,0
2017-05-22,2383.51,2395.83,2379.8,2395.09,6608,50,0
2017-05-23,2394.73,2401.05,2388.24,2398.82,8088,50,0
2017-05-24,2398.57,2405.82,2396.25,2404.82,6846,50,0
2017-05-25,2404.33,2419.06,2403.98,2414.56,8493,50,0
2017-05-26,2414.31,2416.81,2409.07,2415.61,6485,50,0
2017-05-29,2415.28,2418.34,2415.04,2415.85,2075,50,0
2017-05-30,2415.21,2415.72,2408.76,2412.29,6217,50,0
2017-05-31,2411.55,2417.41,2403.17,2414.69,9595,50,0
2017-06-01,2413.92,2431.0,2410.94,2429.76,7980,50,0
2017-06-02,2429.98,2440.31,2427.54,2437.81,10531,50,0
2017-06-05,2436.24,2439.8,2433.75,2435.82,5082,50,0
2017-06-06,2435.08,2436.55,2427.03,2430.56,8028,50,0
2017-06-07,2430.07,2435.42,2424.41,2432.43,9822,50,0
2017-06-08,2431.93,2439.42,2427.66,2434.69,10226,50,0
2017-06-09,2427.94,2446.46,2415.44,2430.98,20602,25,0
2017-06-12,2430.46,2431.49,2419.8,2429.81,18054,25,0
2017-06-13,2428.25,2441.05,2427.0,2440.1,19591,0,0
2017-06-14,2439.92,2445.27,2427.73,2436.3,23838,25,0
2017-06-15,2435.33,2435.85,2417.84,2433.43,20100,25,0
2017-06-16,2432.93,2438.25,2421.96,2435.73,18118,25,0
2017-06-19,2435.52,2453.33,2434.65,2449.63,17137,25,0
2017-06-20,2449.54,2452.86,2435.9,2438.7,17079,25,0
2017-06-21,2437.86,2441.85,2429.81,2434.31,19594,25,0
