time,open,high,low,close,tick_volume,spread,real_volume
2013-03-22,936.1,936.1,936.1,936.1,1,0,0
2013-03-25,935.4,935.4,935.4,935.4,1,0,0
2013-03-26,939.1,939.1,939.1,939.1,1,0,0
2013-03-27,939.3,939.3,939.3,939.3,1,0,0
2013-03-28,939.4,940.9,939.4,940.9,16,0,0
2013-04-01,927.1,927.1,927.1,927.1,1,0,0
2013-04-02,924.1,924.1,924.1,924.1,1,0,0
2013-04-03,908.4,908.4,908.4,908.4,1,0,0
2013-04-04,914.7,914.7,914.7,914.7,1,0,0
2013-04-05,911.7,911.7,911.7,911.7,1,0,0
2013-04-08,922.6,922.6,922.6,922.6,1,0,0
2013-04-09,918.2,918.2,918.2,918.2,1,0,0
2013-04-10,935.5,935.5,935.5,935.5,1,0,0
2013-04-11,937.4,937.4,937.4,937.4,1,0,0
2013-04-12,931.1,931.1,931.1,931.1,1,0,0
2013-04-15,891.3,891.3,891.3,891.3,1,0,0
2013-04-16,912.8,912.8,912.8,912.8,1,0,0
2013-04-17,896.2,896.2,896.2,896.2,1,0,0
2013-04-18,889.4,889.4,889.4,889.4,1,0,0
2013-04-19,899.4,899.4,899.4,899.4,1,0,0
2013-04-23,919.3,919.3,919.3,919.3,1,0,0
2013-04-24,922.8,922.8,922.8,922.8,1,0,0
2013-04-26,924.6,924.6,924.6,924.6,1,0,0
2013-04-29,880.0,880.0,880.0,880.0,1,0,0
2013-05-02,928.5,928.5,928.5,928.5,1,0,0
2013-05-03,943.4,943.4,943.4,943.4,1,0,0
2013-05-06,950.0,950.0,950.0,950.0,1,0,0
2013-05-08,961.1,961.1,961.1,961.1,1,0,0
2013-05-09,957.9,957.9,957.9,957.9,1,0,0
2013-05-10,965.4,965.5,965.4,965.5,2,0,0
2013-05-13,964.4,964.4,964.4,964.4,1,0,0
2013-05-14,976.7,976.7,976.7,976.7,1,0,0
2013-05-15,978.4,978.4,978.4,978.4,1,0,0
2013-05-16,976.4,976.4,976.4,976.4,1,0,0
2013-05-17,986.3,986.3,986.3,986.3,1,0,0
2013-05-20,988.6,988.6,988.6,988.6,1,0,0
2013-05-23,989.3,989.3,989.3,989.3,1,0,0
2013-05-24,976.4,977.1,976.4,977.1,8,0,0
2013-05-28,986.0,986.0,986.0,986.0,1,0,0
2013-05-29,979.9,979.9,979.9,979.9,1,0,0
2013-05-30,985.4,985.4,985.4,985.4,1,0,0
2013-05-31,973.7,975.5,973.7,975.5,19,0,0
2013-06-03,981.9,981.9,981.9,981.9,1,0,0
2013-06-04,974.8,974.8,974.8,974.8,1,0,0
2013-06-05,960.8,960.8,960.8,960.8,1,0,0
2013-06-06,972.4,972.4,972.4,972.4,1,0,0
2013-06-07,975.7,975.7,975.7,975.7,1,0,0
2013-06-11,995.0,995.0,995.0,995.0,1,0,0
2013-06-12,962.2,962.2,962.2,962.2,1,0,0
2013-06-13,981.9,981.9,981.9,981.9,1,0,0
2013-06-14,972.3,972.3,972.3,972.3,1,0,0
2013-06-17,981.7,981.7,981.7,981.7,1,0,0
2013-06-18,992.2,992.2,992.2,992.2,1,0,0
2013-06-19,977.8,977.8,977.8,977.8,1,0,0
2013-06-21,950.0,977.8,937.3,953.6,775,0,0
2013-06-24,946.7,954.7,938.0,948.1,321,0,0
2013-06-25,949.9,955.6,940.2,948.5,295,0,0
2013-06-26,945.4,965.9,943.6,952.1,380,0,0
2013-06-27,951.4,978.1,951.0,972.5,332,0,0
2013-06-28,969.4,983.1,961.5,962.7,366,0,0
2013-07-01,975.7,992.2,968.2,986.6,372,0,0
2013-07-02,988.8,992.4,977.6,979.0,199,0,0
2013-07-03,979.5,992.0,971.9,989.8,300,0,0
2013-07-04,991.5,997.9,982.5,993.7,287,0,0
2013-07-05,992.8,1005.0,985.9,999.5,316,0,0
2013-07-08,996.0,1009.7,995.7,999.4,247,0,0
2013-07-09,999.2,1018.1,997.5,1009.7,308,0,0
2013-07-10,1017.9,1020.5,1005.8,1015.7,273,0,0
2013-07-11,1019.3,1032.4,1018.5,1021.4,258,0,0
2013-07-12,1020.7,1037.6,1019.9,1029.0,272,0,0
2013-07-15,1033.0,1038.7,1025.6,1032.7,260,0,0
2013-07-16,1044.3,1044.3,1030.1,1030.4,146,0,0
2013-07-17,1030.0,1045.7,1026.9,1042.2,255,0,0
2013-07-18,1039.9,1047.1,1031.2,1038.1,301,0,0
2013-07-19,1036.9,1045.8,1035.3,1040.6,174,0,0
2013-07-22,1043.1,1053.7,1039.5,1053.7,179,0,0
2013-07-23,1055.0,1057.1,1041.1,1052.7,298,0,0
2013-07-24,1052.6,1053.9,1032.3,1036.6,273,0,0
2013-07-25,1034.4,1053.6,1028.2,1053.6,317,0,0
2013-07-26,1052.2,1052.9,1034.3,1040.7,258,0,0
2013-07-29,1047.2,1048.7,1036.9,1040.5,170,0,0
2013-07-30,1040.6,1045.6,1032.6,1044.2,225,0,0
2013-07-31,1043.9,1050.0,1034.5,1037.2,244,0,0
2013-08-01,1037.6,1058.0,1037.4,1058.0,209,0,0
2013-08-02,1057.5,1059.7,1048.6,1057.9,219,0,0
2013-08-05,1048.3,1062.7,1047.4,1052.9,261,0,0
2013-08-06,1050.8,1054.9,1047.0,1051.1,156,0,0
2013-08-07,1050.1,1050.3,1035.0,1038.0,186,0,0
2013-08-08,1038.1,1049.2,1038.1,1039.7,207,0,0
2013-08-09,1038.5,1050.8,1035.3,1042.3,273,0,0
2013-08-12,1036.3,1053.8,1029.5,1053.8,312,0,0
2013-08-13,1052.7,1058.7,1036.9,1050.0,410,0,0
2013-08-14,1050.6,1051.2,1037.2,1046.3,238,0,0
2013-08-15,1043.7,1045.0,1016.1,1022.3,365,0,0
2013-08-16,1026.5,1027.1,1014.9,1017.8,158,0,0
2013-08-19,1012.5,1022.8,1004.7,1005.3,291,0,0
2013-08-20,1006.0,1027.2,1003.3,1023.4,305,0,0
2013-08-21,1021.6,1028.5,1009.0,1017.9,354,0,0
2013-08-22,1014.4,1035.1,1009.9,1032.0,329,0,0
2013-08-23,1035.3,1038.1,1024.8,1034.9,263,0,0
2013-08-26,1030.9,1041.8,1028.4,1030.7,267,0,0
2013-08-27,1029.4,1036.2,1008.0,1011.8,389,0,0
2013-08-28,1012.0,1014.8,1004.7,1010.4,187,0,0
2013-08-29,1016.1,1020.8,1016.1,1020.7,49,0,0
2013-08-30,1024.3,1024.3,1003.1,1007.9,261,0,0
2013-09-02,1015.8,1023.7,1008.8,1017.3,284,0,0
2013-09-03,1021.8,1024.7,1001.8,1001.9,260,0,0
2013-09-04,1009.5,1021.4,1008.1,1020.3,159,0,0
2013-09-05,1022.7,1026.7,1010.0,1010.0,208,0,0
2013-09-06,1024.3,1030.1,1008.2,1024.8,434,0,0
2013-09-09,1026.7,1041.8,1021.9,1039.4,272,0,0
2013-09-10,1044.1,1051.2,1038.2,1048.8,214,0,0
2013-09-11,1049.6,1053.9,1046.9,1052.3,114,0,0
2013-09-12,1051.8,1052.5,1043.8,1046.2,119,0,0
2013-09-13,1046.8,1051.1,1042.8,1050.3,132,0,0
2013-09-16,1061.3,1065.8,1049.7,1049.7,207,0,0
2013-09-17,1049.7,1064.7,1049.3,1064.4,162,0,0
2013-09-18,1064.0,1077.8,1054.1,1072.8,387,0,0
2013-09-19,1073.3,1078.5,1068.2,1073.4,206,0,0
2013-09-20,1072.5,1075.3,1067.9,1068.9,113,0,0
2013-09-23,1070.9,1072.9,1060.6,1068.5,223,0,0
2013-09-24,1067.9,1079.6,1063.2,1072.1,287,0,0
2013-09-25,1071.9,1079.9,1068.5,1069.7,207,0,0
2013-09-26,1070.1,1079.8,1068.5,1077.8,150,0,0
2013-09-27,1077.6,1077.7,1067.1,1071.2,149,0,0
2013-09-30,1063.7,1073.7,1057.3,1072.9,237,0,0
2013-10-01,1072.1,1086.4,1069.7,1085.5,201,0,0
2013-10-02,1084.3,1084.5,1073.5,1075.4,132,0,0
2013-10-03,1071.5,1078.3,1060.4,1065.6,300,0,0
2013-10-04,1066.5,1078.0,1064.7,1074.0,192,0,0
2013-10-07,1069.2,1071.3,1060.8,1061.1,130,0,0
2013-10-08,1061.2,1064.7,1042.8,1044.1,268,0,0
2013-10-09,1048.4,1050.7,1034.5,1040.9,250,0,0
2013-10-10,1042.7,1068.0,1042.6,1065.3,283,0,0
2013-10-11,1065.3,1083.5,1063.0,1083.3,231,0,0
2013-10-14,1073.6,1088.5,1071.1,1087.6,209,0,0
2013-10-15,1089.5,1089.5,1073.8,1080.4,224,0,0
2013-10-16,1085.8,1091.1,1079.5,1088.5,206,0,0
2013-10-17,1089.8,1101.0,1082.6,1100.4,263,0,0
2013-10-18,1102.4,1112.9,1101.2,1111.8,141,0,0
2013-10-21,1111.7,1115.9,1107.6,1108.8,138,0,0
2013-10-22,1109.0,1120.1,1107.4,1111.8,227,0,0
2013-10-23,1111.3,1111.4,1103.0,1109.4,150,0,0
2013-10-24,1110.0,1117.9,1108.5,1116.3,126,0,0
2013-10-25,1116.8,1119.8,1111.0,1113.8,147,0,0
2013-10-27,1114.7,1115.5,1114.4,1114.9,21,0,0
2013-10-28,1114.7,1121.0,1109.6,1116.9,207,0,0
2013-10-29,1115.4,1121.5,1110.6,1119.0,183,0,0
2013-10-30,1118.1,1122.8,1100.2,1104.1,313,0,0
2013-10-31,1102.2,1107.0,1094.1,1099.1,228,0,0
2013-11-01,1098.2,1101.4,1084.4,1090.5,264,0,0
2013-11-04,1091.0,1106.9,1091.0,1104.2,187,0,0
2013-11-05,1104.3,1105.3,1093.7,1101.6,206,0,0
2013-11-06,1102.5,1109.4,1094.3,1096.0,238,0,0
2013-11-07,1094.9,1104.2,1076.6,1078.0,384,0,0
2013-11-08,1079.8,1099.9,1074.4,1097.4,335,0,0
2013-11-11,1097.2,1101.2,1091.6,1098.8,177,0,0
2013-11-12,1099.3,1100.2,1091.7,1099.0,168,0,0
2013-11-13,1099.8,1112.0,1090.5,1110.3,326,0,0
2013-11-14,1112.1,1113.6,1102.3,1109.0,196,0,0
